code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
J59-204;Honda (RC) <334140>;;Honda (RC) <334140>;;;;;;
J59-257;Honda (TH) <404140>;;Honda (TH) <404140>;;;;;;
J59-260;Honda (TR) <394140>;;Honda (TR) <394140>;;;;;;
J59-147;Honda (USA) <024140>;;Honda (USA) <024140>;;;;;;
J59-298;Hong Qi (RC) <334158>;;Hong Qi (RC) <334158>;;;;;;
J59-51;Horch <044160>;;Horch <044160>;;;;;;
J59-52;Hotchkiss <064190>;;Hotchkiss <064190>;;;;;;
J59-53;Humber <054260>;;Humber <054260>;;;;;;
J59-207;Hummer (USA) <024285>;;Hummer (USA) <024285>;;;;;;
J59-228;Hyundai (CZ) <104400>;;Hyundai (CZ) <104400>;;;;;;
J59-189;Hyundai (IND) <354400>;;Hyundai (IND) <354400>;;;;;;
J59-144;Hyundai (ROK) <274400>;;Hyundai (ROK) <274400>;;;;;;
J59-236;Hyundai (SK) <304400>;;Hyundai (SK) <304400>;;;;;;
J59-190;Hyundai (TR) <394400>;;Hyundai (TR) <394400>;;;;;;
J59-299;Ineos (GB) <054541>;;Ineos (GB) <054541>;;;;;;
J59-192;Infiniti (J) <174542>;;Infiniti (J) <174542>;;;;;;
J59-267;Infiniti (GB) <054542>;;Infiniti (GB) <054542>;;;;;;
J59-216;Infiniti (USA) <024542>;;Infiniti (USA) <024542>;;;;;;
J59-57;Innocenti <074550>;;Innocenti <074550>;;;;;;
J59-58;Iso-Rivolta <074600>;;Iso-Rivolta <074600>;;;;;;
J59-130;Isuzu (J) <174630>;;Isuzu (J) <174630>;;;;;;
J59-261;Isuzu (TH) <404630>;;Isuzu (TH) <404630>;;;;;;
J59-232;Iveco (E) <224650>;;Iveco (E) <224650>;;;;;;
J59-132;Iveco (I) <074650>;;Iveco (I) <074650>;;;;;;
J59-140;IFA (D) <044420>;;IFA (D) <044420>;;;;;;
J59-54;IFA (DDR) <154420>;;IFA (DDR) <154420>;;;;;;
J59-55;IHC <024440>;;IHC <024440>;;;;;;
J59-56;IMV <164520>;;IMV <164520>;;;;;;
J59-275;JAC (RC) <334680>;;JAC (RC) <334680>;;;;;;
J59-59;Jaguar <054700>;;Jaguar <054700>;;;;;;
J59-245;Jeep (A) <014750>;;Jeep (A) <014750>;;;;;;
J59-283;Jeep (I) <074750>;;Jeep (I) <074750>;;;;;;
J59-271;Jeep (MEX) <374750>;;Jeep (MEX) <374750>;;;;;;
J59-60;Jeep (USA) <024750>;;Jeep <024750>;;;;;;
J59-61;Jensen <054770>;;Jensen <054770>;;;;;;
J59-235;Kia (CZ) <104895>;;Kia (CZ) <104895>;;;;;;
J59-160;Kia (ROK) <274895>;;Kia (ROK) <274895>;;;;;;
J59-218;Kia (SK) <304895>;;Kia (SK) <304895>;;;;;;
J59-63;Kirchner Hans <014900>;;Kirchner Hans <014900>;;;;;;
J59-64;Kleinschnittger <044920>;;Kleinschnittger <044920>;;;;;;
J59-211;Kutsenits (A) <015210>;;Kutsenits (A) <015210>;;;;;;
J59-279;Kutsenits (SLO) <315210>;;Kutsenits (SLO) <315210>;;;;;;
J59-62;Kässbohrer <044860>;;Kässbohrer <044860>;;;;;;
J59-269;Koenigsegg (S) <085003>;;Koenigsegg (S) <085003>;;;;;;
J59-227;KTM <015140>;;KTM <015140>;;;;;;
J59-116;Lada <115230>;;Lada <115230>;;;;;;
J59-253;Lada (D) <045230>;;Lada(D) <045230>;;;;;;
J59-65;Lamborghini <075270>;;Lamborghini <075270>;;;;;;
J59-66;Lancia (I) <075300>;;Lancia <075300>;;;;;;
J59-243;Lancia (CND) <365300>;;Lancia (CND) <365300>;;;;;;
J59-252;Lancia (USA) <025300>;;Lancia (USA) <025300>;;;;;;
J59-178;Land Rover <055315>;;Land Rover <055315>;;;;;;
J59-287;LEVC (GB) <053087>;;LEVC (GB) <053087>;;;;;;
J59-135;Lexus <175390>;;Lexus <175390>;;;;;;
J59-203;Lincoln (USA) <025415>;;Lincoln (USA) <025415>;;;;;;
J59-67;Lloyd <045440>;;Lloyd <045440>;;;;;;
J59-179;London Taxi Intern (GB) <055470>;;London Taxi Intern (GB) <055470>;;;;;;
J59-240;London Taxi International (RC) <335470>;;London Taxi International (RC) <335470>;;;;;;
J59-68;Lotus <055480>;;Lotus <055480>;;;;;;
J59-250;McLaren (GB) <056035>;;McLaren (GB) <056035>;;;;;;
J59-146;Mahindra <285610>;;Mahindra <285610>;;;;;;
J59-248;Mahindra (IND) <355610>;;Mahindra (IND) <355610>;;;;;;
J59-70;Maserati <075780>;;Maserati <075780>;;;;;;
J59-71;Matra-Simca <065990>;;Matra-Simca <065990>;;;;;;
J59-288;Maxus (RC) <335996>;;Maxus (RC) <335996>;;;;;;
J59-196;Maybach (D) <045995>;;Maybach (D) <045750>;;;;;;
J59-281;Mazda (B) <036010>;;Mazda (B) <036010>;;;;;;
J59-161;Mazda (GB) <056010>;;Mazda (GB) <056010>;;;;;;
J59-72;Mazda (J) <176010>;;Mazda (J) <176010>;;;;;;
J59-263;Mazda (MEX) <376010>;;Mazda (MEX) <376010>;;;;;;
J59-180;Mercedes (A) <016100>;;Mercedes (A) <016100>;;;;;;
J59-73;Mercedes (D) <046100>;;Mercedes (D) <046100>;;;;;;
J59-142;Mercedes (E) <226100>;;Mercedes (E) <226100>;;;;;;
J59-219;Mercedes (F) <066100>;;Mercedes (F) <066100>;;;;;;
J59-170;Mercedes (USA) <026100>;;Mercedes (USA) <026100>;;;;;;
J59-256;Mia (F) <066215>;;Mia (F) <066215>;;;;;;
J59-172;Micro Compact Car <066248>;;Micro Compact Car <066248>;;;;;;
J59-246;Mini (GB) <056275>;;Mini (GB) <056275>;;;;;;
J59-150;Mitsubishi (AUS) <296290>;;Mitsubishi (AUS) <296290>;;;;;;
J59-297;Mitsubishi (F) <066290>;;Mitsubishi (F) <066290>;;;;;;
J59-75;Mitsubishi (J) <176290>;;Mitsubishi (J) <176290>;;;;;;
J59-162;Mitsubishi (NL) <136290>;;Mitsubishi (NL) <136290>;;;;;;
J59-197;Mitsubishi (USA) <026290>;;Mitsubishi (USA) <026290>;;;;;;
J59-254;Mitsubishi (TH) <406290>;;Mitsubishi (TH) <406290>;;;;;;
J59-76;Morgan <056330>;;Morgan <056330>;;;;;;
J59-77;Morris <056340>;;Morris <056340>;;;;;;
J59-78;Moskwitsch <116360>;;Moskwitsch <116360>;;;;;;
J59-282;MAN <045700>;;MAN <045700>;;;;;;
J59-69;MAN-Saviem <065710>;;MAN-Saviem <065710>;;;;;;
J59-74;MG <056200>;;MG <056200>;;;;;;
J59-280;MG (RC) <336200>;;MG <336200>MG (RC) <336200>;;;;;;
J59-80;Nash <056480>;;Nash <056480>;;;;;;
J59-79;Nash Rambler Americ.Mot. <026460>;;Nash Rambler Americ.Mot. <026460>;;;;;;
J59-303;Nio (RC) <336497>;;Nio (RC) <336497>;;;;;;
J59-259;Nilsson (S) <086495>;;Nilsson (S) <086495>;;;;;;
J59-124;Nissan (E) <226500>;;Nissan (E) <226500>;;;;;;
J59-188;Nissan (F) <066500>;;Nissan (F) <066500>;;;;;;
J59-133;Nissan (GB) <056500>;;Nissan (GB) <056500>;;;;;;
J59-31;Nissan (I) <076500>;;Nissan (I) <076500>;;;;;;
J59-233;Nissan (IND) <356500>;;Nissan (IND) <356500>;;;;;;
J59-81;Nissan (J) <176500>;;Nissan (J) <176500>;;;;;;
J59-220;Nissan (MEX) <376500>;;Nissan (MEX) <376500>;;;;;;
J59-155;Nissan (USA) <026500>;;Nissan (USA) <026500>;;;;;;
J59-82;NSU <046600>;;NSU <046600>;;;;;;
J59-83;NSU-Fiat <046620>;;NSU-Fiat <046620>;;;;;;
J59-85;Oldsmobile <026880>;;Oldsmobile <026880>;;;;;;
J59-87;Opel (D) <047000>;;Opel (D) <047000>;;;;;;
J59-176;Opel (F) <067000>;;Opel (F) <067000>;;;;;;
J59-143;Opel (GB) <057000>;;Opel (GB) <057000>;;;;;;
J59-145;Opel (J) <177000>;;Opel (J) <177000>;;;;;;
J59-163;Opel (USA) <027000>;;Opel (USA) <027000>;;;;;;
J59-86;OM <076900>;;OM <076900>;;;;;;
J59-88;Panhard <067040>;;Panhard <067040>;;;;;;
J59-168;Perl <017160>;;Perl <017160>;;;;;;
J59-89;Peugeot <067200>;;Peugeot <067200>;;;;;;
J59-184;Piaggio <077230>;;Piaggio <077230>;;;;;;
J59-215;Pirso(A) <017233>;;Pirso(A) <017233>;;;;;;
J59-90;Plymouth <027240>;;Plymouth <027240>;;;;;;
J59-284;Polestar (RC) <337273>;;Polestar (RC) <337273>;;;;;;
J59-294;Polestar (S) <087273>;;Polestar (S) <087273>;;;;;;
J59-91;Pontiac <027280>;;Pontiac <027280>;;;;;;
J59-92;Porsche <047300>;;Porsche <047300>;;;;;;
J59-93;Praga <107320>;;Praga <107320>;;;;;;
J59-94;Puch <017400>;;Puch <017400>;;;;;;
J59-289;Ram (USA) <027446>;;Ram (USA) <027446>;;;;;;
J59-95;Reliant <057460>;;Reliant <057460>;;;;;;
J59-96;Renault (F) <067600>;;Renault (F) <067600>;;;;;;
J59-221;Renault (RO) <217600>;;Renault (RO) <217600>;;;;;;
J59-46;Renault Saviem <068070>;;Renault Saviem <068070>;"Bis 1983 in Ausprägung 96 'Renault' enthalten
";;Until 1983 included in element 96 'Renault';;;
J59-97;Riley <057640>;;Riley <057640>;;;;;;
J59-98;Rolls Royce <057740>;;Rolls Royce <057740>;;;;;;
J59-99;Rover <057900>;;Rover <057900>;;;;;;
J59-84;ÖAF Gräf & Stift <016800>;;ÖAF Gräf & Stift <016800>;;;;;;
J59-100;Saab (S) <088040>;;Saab <088040>;;;;;;
J59-206;Saab (USA) <028040>;;Saab (USA) <028040>;;;;;;
J59-191;Saic (RC) <338055>;;Saic (RC) <338055>;;;;;;
J59-222;Santana (E) <228063>;;Santana (E) <228063>;;;;;;
J59-251;Saturn (USA) <028085>;;Saturn (USA) <028085>;;;;;;
J59-153;Sauber (Korea) <278090>;;Sauber (Korea) <278090>;;;;;;
J59-152;Sauber (USA) <028090>;;Sauber (USA) <028090>;;;;;;
J59-151;Saurer <018100>;;Saurer <018100>;;;;;;
J59-131;Seat <228270>;;Seat <228270>;;;;;;
J59-238;Secma (F) <068272>;;Secma (F) <068272>;;;;;;
J59-304;Seres (RC) <338301>;;Seres (RC) <338301>;;;;;;
J59-102;Simca <068400>;;Simca <068400>;;;;;;
J59-103;Singer <058420>;;Singer <058420>;;;;;;
J59-104;Skoda <108500>;;Skoda <108500>;;;;;;
J59-290;Skywell (RC) <338501>;;Skywell (RC) <338501>;;;;;;
J59-247;Smart (F) <068504>;;Smart (F) <068504>;;;;;;
J59-300;Smart (RC) <338504>;;Smart (RC) <338504>;;;;;;
J59-154;Ssang-Yong <278530>;;Ssang-Yong <278530>;;;;;;
J59-109;Stöwer <048680>;;Stöwer <048680>;;;;;;
J59-105;Standard <058540>;;Standard <058540>;;;;;;
J59-106;Steyr <018600>;;Steyr <018600>;;;;;;
J59-108;Steyr-Fiat <018620>;;Steyr-Fiat <018620>;;;;;;
J59-107;Steyr-Puch <018610>;;Steyr-Puch <018610>;;;;;;
J59-110;Studebaker <028720>;;Studebaker <028720>;;;;;;
