Year,Sum
2000,750630
2001,756630
2002,747319
2003,751276
2004,776794
2005,771242
2006,774192
2007,745566
2008,738690
2009,773809
2010,798652
2011,802458
2012,808384
2013,823417
2014,810994
2015,816116
2016,841310
2017,853244
2018,874827
2019,872043
2020,841196
2021,871065
2022,751011
2023,757981
2024,128970
